a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
Claude 3.5 Sonnet (Old) (Inspect),GPT-4 0314,141,53,0.12706855791962177,0.06132075471698114,-0.06574780320264062,0.06574780320264062,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-4 1106 (Inspect),152,58,0.12006578947368421,0.06896551724137931,-0.0511002722323049,0.0511002722323049,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-4 Turbo (Inspect),152,58,0.14857456140350878,0.08477011494252874,-0.06380444646098003,0.06380444646098003,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-4o (Inspect),152,58,0.06085526315789474,-0.01293103448275862,-0.07378629764065336,0.07378629764065336,True
Claude 3.5 Sonnet (Old) (Inspect),GPT-5 (Inspect),152,58,-0.38534688995215316,-0.746551724137931,-0.36120483418577787,0.36120483418577787,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-5.1-Codex-Max (Inspect),152,58,-0.40679824561403505,-0.7514367816091955,-0.3446385359951604,0.3446385359951604,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-5.2,152,58,-0.4629934210526316,-0.8254310344827587,-0.3624376134301271,0.3624376134301271,False
Claude 3.5 Sonnet (Old) (Inspect),GPT-5.3-Codex,152,58,-0.4517543859649123,-0.7780172413793104,-0.3262628554143981,0.3262628554143981,False
Claude 3.5 Sonnet (Old) (Inspect),Gemini 3 Pro,152,58,-0.4095394736842105,-0.7801724137931034,-0.3706329401088929,0.3706329401088929,False
Claude 3.5 Sonnet (Old) (Inspect),human,115,40,-0.2680560947645883,-0.49866687192118225,-0.23061077715659395,0.23061077715659395,False
Claude 3.5 Sonnet (Old) (Inspect),o1 (Inspect),152,58,-0.20065789473684212,-0.35344827586206895,-0.15279038112522683,0.15279038112522683,False
Claude 3.5 Sonnet (Old) (Inspect),o1-preview,141,54,-0.08937014522120905,-0.1755952380952381,-0.08622509287402906,0.08622509287402906,False
Claude 3.5 Sonnet (Old) (Inspect),o3 (Inspect),152,58,-0.3368421052631579,-0.6413793103448276,-0.30453720508166976,0.30453720508166976,False
Claude 3.7 Sonnet (Inspect),Claude 4 Opus (Inspect),157,60,-0.060244161358811034,-0.11180555555555553,-0.0515613941967445,0.0515613941967445,False
Claude 3.7 Sonnet (Inspect),Claude 4.1 Opus (Inspect),157,60,-0.06422505307855625,-0.13472222222222224,-0.070497169143666,0.070497169143666,False
Claude 3.7 Sonnet (Inspect),Claude Opus 4.5 (Inspect),157,60,-0.19320594479830147,-0.40138888888888885,-0.20818294409058738,0.20818294409058738,False
