source,model,d,ability_scale,difficulty_scale,power
mmlu-pro,non-compensatory-mirt,2,1.5,1.0,0.069
mmlu-pro,non-compensatory-mirt,2,1.5,1.5,0.269
mmlu-pro,non-compensatory-mirt,2,1.5,2.0,0.734
mmlu-pro,non-compensatory-mirt,2,2.0,0.5,0.165
mmlu-pro,non-compensatory-mirt,2,2.0,1.0,0.407
mmlu-pro,non-compensatory-mirt,2,2.0,1.5,0.683
mmlu-pro,non-compensatory-mirt,2,2.0,2.0,0.937
mmlu-pro,non-compensatory-mirt,3,0.5,0.5,0.001
mmlu-pro,non-compensatory-mirt,3,0.5,1.0,0.0
mmlu-pro,non-compensatory-mirt,3,0.5,1.5,0.0
mmlu-pro,non-compensatory-mirt,3,0.5,2.0,0.0
mmlu-pro,non-compensatory-mirt,3,1.0,0.5,0.842
mmlu-pro,non-compensatory-mirt,3,1.0,1.0,0.726
mmlu-pro,non-compensatory-mirt,3,1.0,1.5,0.797
mmlu-pro,non-compensatory-mirt,3,1.0,2.0,0.881
mmlu-pro,non-compensatory-mirt,3,1.5,0.5,0.9989429175475687
mmlu-pro,non-compensatory-mirt,3,1.5,1.0,0.998
mmlu-pro,non-compensatory-mirt,3,1.5,1.5,1.0
mmlu-pro,non-compensatory-mirt,3,1.5,2.0,1.0
mmlu-pro,non-compensatory-mirt,3,2.0,0.5,1.0
mmlu-pro,non-compensatory-mirt,3,2.0,1.0,1.0
mmlu-pro,non-compensatory-mirt,3,2.0,1.5,1.0
mmlu-pro,non-compensatory-mirt,3,2.0,2.0,1.0
mmlu-pro,non-compensatory-mirt,5,0.5,1.0,1.0
mmlu-pro,non-compensatory-mirt,5,0.5,1.5,0.648
mmlu-pro,non-compensatory-mirt,5,0.5,2.0,0.123
mmlu-pro,non-compensatory-mirt,5,1.0,1.0,1.0
mmlu-pro,non-compensatory-mirt,5,1.0,1.5,1.0
mmlu-pro,non-compensatory-mirt,5,1.0,2.0,0.998
mmlu-pro,non-compensatory-mirt,5,1.5,1.0,1.0
mmlu-pro,non-compensatory-mirt,5,1.5,1.5,1.0
mmlu-pro,non-compensatory-mirt,5,1.5,2.0,1.0
mmlu-pro,non-compensatory-mirt,5,2.0,1.0,1.0
mmlu-pro,non-compensatory-mirt,5,2.0,1.5,1.0
mmlu-pro,non-compensatory-mirt,5,2.0,2.0,1.0
swebench-verified,compensatory-mirt,2,0.5,0.5,0.0
swebench-verified,compensatory-mirt,2,0.5,1.0,0.0
swebench-verified,compensatory-mirt,2,0.5,1.5,0.0
swebench-verified,compensatory-mirt,2,0.5,2.0,0.0
swebench-verified,compensatory-mirt,2,1.0,0.5,0.0
