source,model,d,ability_scale,difficulty_scale,median_of_median_abs_delta,p2_5,p97_5,mean_sign_flip,mean_rho,mean_in_band,n
mmlu-pro,compensatory-mirt,3,2.0,0.5,0.0006966238201549096,0.00044660075855258095,0.0012490901366251914,0.059342198581560285,0.9817277534075606,0.9630185339095745,1000
mmlu-pro,compensatory-mirt,3,2.0,1.0,0.0015210297847832177,0.0010983342337501846,0.0023981085294872556,0.11486436170212765,0.9309083914542662,0.8519777260638298,1000
mmlu-pro,compensatory-mirt,3,2.0,1.5,0.002290585498664094,0.0016094850824488291,0.0035164272873217614,0.15859042553191488,0.8694663861584635,0.7219184674202128,1000
mmlu-pro,compensatory-mirt,3,2.0,2.0,0.0029451394487332444,0.0019776358906945313,0.0045353040407560925,0.18604078014184397,0.8232887975027373,0.6110992353723405,1000
mmlu-pro,compensatory-mirt,5,0.5,0.5,0.001312903400030263,0.0009873517936393474,0.001669501567461655,0.09815868794326241,0.952396637967709,0.8969723238031915,1000
mmlu-pro,compensatory-mirt,5,0.5,1.0,0.0027464689452598723,0.002121549510673366,0.003405448058703977,0.17590425531914894,0.8466546486841441,0.6631198470744681,1000
mmlu-pro,compensatory-mirt,5,0.5,1.5,0.003905682256386378,0.002986635448556427,0.004901032226083225,0.21922074468085107,0.767977872437836,0.4941394614361702,1000
mmlu-pro,compensatory-mirt,5,0.5,2.0,0.0048630080445027785,0.0037604292895090526,0.00617676547756427,0.2384822695035461,0.7270791323563632,0.38761968085106385,1000
mmlu-pro,compensatory-mirt,5,1.0,0.5,0.0009132420813702663,0.0006386080456273764,0.001349706520734913,0.07254964539007092,0.973653923375597,0.9448543882978724,1000
mmlu-pro,compensatory-mirt,5,1.0,1.0,0.0020026856667400422,0.0015064180246762815,0.002726643978475031,0.14151152482269505,0.898288687694777,0.78178515625,1000
mmlu-pro,compensatory-mirt,5,1.0,1.5,0.0029424310234704154,0.0021721789090815976,0.0040952102028112055,0.1839290780141844,0.8303372727186008,0.6233045212765957,1000
mmlu-pro,compensatory-mirt,5,1.0,2.0,0.003735456499936257,0.0027963612032753894,0.005176352558198988,0.211354609929078,0.7793686759610532,0.5057987865691489,1000
mmlu-pro,compensatory-mirt,5,1.5,0.5,0.000661203972608812,0.00041680155497823,0.0011304253236424273,0.0552145390070922,0.9845119512395221,0.967700548537234,1000
mmlu-pro,compensatory-mirt,5,1.5,1.0,0.001496980711570256,0.0010789740804238313,0.002205354245252751,0.11277393617021277,0.9340941928149901,0.862089178856383,1000
mmlu-pro,compensatory-mirt,5,1.5,1.5,0.0023009018709374135,0.001650602180789744,0.0031747150428886838,0.15463563829787233,0.8780637409090123,0.7309579454787234,1000
mmlu-pro,compensatory-mirt,5,1.5,2.0,0.002955204731475314,0.002121003064427313,0.004241078445545438,0.18547695035460993,0.8259094439665184,0.6155799534574468,1000
mmlu-pro,compensatory-mirt,5,2.0,0.5,0.0005132348183037594,0.0002785916387273192,0.0010757909573538053,0.04582890070921986,0.9890335691712052,0.9783918716755319,1000
